lemmaName(en),lemmaName(pt),idPOS,senseDescription(pt),idLU,source_file
suspect,suspeitar,86,"COD: acreditar que alguém é culpado de um crime ou ofensa, sem provas certas.",13485,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
suspect,suspeito,83,"COD: uma pessoa suspeita de um crime ou ofensa.",13487,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
appeal,recurso,83,"COD: uma aplicação para um tribunal superior para que uma decisão seja revertida.",13488,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
appeal,recorrer,86,"COD: recorrer a um tribunal superior para reverter a decisão de um tribunal inferior.",13489,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
wanted,procurado,84,"FN: caçado ou procurado pela polícia por um crime.",13492,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
examine,interrogar,86,"COD: formalmente questionar (um réu ou testemunha) no tribunal.",13493,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
cross,"interrogatório cruzado",83,"FN: abreviação de interrogatório cruzado.",13495,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
examination,exame,83,"COD: o interrogatório formal de um réu ou testemunha em tribunal.",13498,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
account,explicar,86,"COD: fornecer um registro ou explicação satisfatória de.",13502,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
aim,visar,86,"ter um propósito ou objetivo, propor, pretendê-lo.",13512,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
application,aplicação,83,"COD: uso prático ou relevância",13516,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
plan,planejar,86,"COD: decida e organize com antecedência.",13517,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
bent,determinado,84,"COD: determinado a fazer ou ter.",13520,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
mean,pretender,86,"COD: pretende ocorrer ou ser o caso.",13523,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
motive,motivo,83,"COD: um fator que induz uma pessoa a agir de uma determinada maneira",13526,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
basis,base,83,"COD: o suporte subjacente para uma ideia, argumento ou processo.",13528,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
foil,frustrar,86,"COD: prevenir o sucesso de.",13558,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
stymie,impedir,86,"COD: prevenir ou impedir o progresso de.",13559,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
prevent,impedir,86,"COD: incapacitar para fazer algo. (Diferente de Impedir.)",13561,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
counter,contrapor,86,"FN: tome medidas para impedir que uma ação do oponente tenha sucesso; pare alguma ASO (em andamento ou antecipada)",13567,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
rate,classificar,86,"FN: avaliar algo em uma escala dependendo de alguma qualidade, especialmente quando o número de resultados é limitado ""Viajantes classificaram a Japan Air Lines como 'Excelente' no que diz respeito ao serviço de bordo.",13569,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
grade,classificar,86,"FN: decidir com base em alguma qualidade onde colocar algo ao longo de uma escala estabelecida ""geólogos classificam rochas de acordo com sua dureza"".",13571,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
weigh,pesar,86,"FN: determinar o peso de algo",13574,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
judge,julgar,86,"FN: decide o valor ou significado de alguma característica",13575,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
value,valorizar,86,"FN: Declare o valor ou significado de algum recurso",13576,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
reappraisal,reavaliação,83,"FN: uma análise da qualidade de para uma segunda vez.",13581,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
review,revisar,86,"FN: o evento em que um Assistente examina um Fenômeno para descobrir seu Valor de acordo com alguma Característica do Fenômeno",31012,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
personally,pessoalmente,89,"Descriando a avaliação pessoal de algo.",34148,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
lecture,palestrar,86,"COD: realizar uma ou mais palestras educacionais",13616,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
expound,expor,86,"COD: apresentar e explicar (uma teoria ou ideia) de forma sistemática.",13618,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
preach,pregar,86,"COD: proferir um discurso religioso para um grupo reunido de pessoas",13619,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
lecture,palestra,83,"COD: uma palestra educacional para um público, especialmente de estudantes universitários.",13629,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
deal,tratar,86,"Fale sobre um assunto específico.",13631,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
master,mestre,83,"COD: um homem que tem pessoas trabalhando para ele, especialmente servos ou escravos.",13638,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
servant,servo,83,"COD: um devoto e prestativo seguidor ou apoiador.",13639,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
assistant,assistente,83,"COD: uma pessoa que ocupa um posto inferior ao de um sênior.",13641,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
serve,servir,86,"FN: Agir no interesse ou em nome de outro, normalmente um <fen>Superior</fen>.",13648,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
call,chamar,86,"COD: exigir; demanda",13660,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
claim,reivindicar,86,"FN: tomar ou declarar propriedade legítima de.",13663,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
call,reivindicar,86,"FN: reivindicar algo como seu direito.",13664,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
deed,escritura,83,"COD: um documento legal, especialmente aquele relacionado à propriedade ou direitos legais.",13675,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
writ,mandado,83,"COD: uma forma de comando escrito em nome de um tribunal ou outra autoridade jurídica para fazer ou abster-se de fazer uma ato específico",13684,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
will,testamento,83,"COD: um documento legal que contém instruções para a disposição do dinheiro e dos bens de alguém após sua morte",13686,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
ruling,decisão,83,"FN: uma decisão tomada pelo tribunal",13690,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
assassinate,assassinar,86,"FN: matar (uma pessoa poderosa) por motivos políticos",13713,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
eliminate,eliminar,86,"FN: assassinar (usado como eufemismo)",13715,lus_imported_from_english_with_lemma_chunk102_2025-11-14_171423.csv
drown,afogar,86,"FN: matar forçando-se debaixo d'água até a morte ocorrer",13717,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
liquidate,liquidar,86,"FN: matar pessoas em grande número, especialmente por motivos ideológicos (usado como eufemismo)",13718,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
murder,assassinar,86,"FN: matar ilegalmente outro ser vivo",13719,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
suffocate,sufocar,86,"FN: causar morte por falta de oxigênio",13722,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
suicide,suicidar-se,86,"FN: matar-se deliberadamente",13726,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
lethal,letal,84,"COD: suficiente para causar morte.",13732,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
shooting,disparo,83,"FN: o ato de matar alguém com uma arma.",13755,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
silence,matar,86,"FN: (gíria) matar.",13777,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
deadly,letal,84,"COD: causando ou capaz de causar morte.",13779,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
fatality,fatalidade,83,"COD: uma ocorrência de morte por acidente, em guerra ou por doença",13781,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
destroy,abater,86,"FN: eutanasiar ou abater",13782,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
lethal,letal,84,"Um ato, evento ou entidade capaz de acabar com uma vida.",34122,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
total,totalizar,86,"COD: valor em número",13787,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
amount,totalizar,86,"COD: vir a ser (um total) quando somados",13788,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
total,total,83,"COD: número ou quantidade total",13789,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
total,total,84,"COD: compreendendo o número ou quantidade inteira.",13791,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
number,cobrar,86,"COD: valor a ser pago.",13792,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
stain,manchar,86,"FN: aplicar um corante a um sólido para o propósito de colorir (mais escuro do que era originalmente).",13794,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
enrich,enriquecer,86,"COD: aumentar a proporção de um determinado isótopo em (um elemento), especialmente a do isótopo físsil U-235 em urânio.",13799,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
process,processar,86,"COD: realizar uma série de operações para alterar ou preservar.",13801,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
develop,revelar,86,"FN: aplicar químicos em filme fotográfico para trazer imagens à tona",13808,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
development,revelação,83,"FN: o processamento de filme fotográfico para revelar imagens",13809,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
total,totalizar,86,"COD: achar o total de",13811,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
mask,mascarar,86,"COD: ocultar de vista",13821,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
cover,cobrir,86,"FN: bloquear parcialmente ou totalmente uma entidade de visão",13822,lus_imported_from_english_with_lemma_chunk103_2025-11-14_171729.csv
screen,proteger,86,"COD: esconder, proteger ou abrigar com uma tela",13824,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
veil,velar,86,"COD: parcialmente esconder, disfarçar ou obscurecer",13825,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
obscured,obscurecido,84,"FN: parcialmente bloqueado pela visão de outra entidade",13828,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
block,bloquear,86,"FN: bloquear uma entidade de visualização",13829,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
cloak,encobrir,86,"FN: bloquear uma entidade de visão como se por uso de um manto",13835,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
cloaked,encoberto,84,"FN: obscure, como se estivesse vestindo um manto",13838,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
judder,tremer,86,"COD: sacuda e vibra rapidamente e com força.",13858,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
rotate,girar,86,"FN: move em um círculo ao redor de um eixo fixo",13859,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
shake,agitar,86,"FN: vibrar ou tremer",13860,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
swing,balançar,86,"FN: mover-se para frente e para trás ou de um lado para o outro enquanto ou como se estivesse suspenso.",13863,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
quiver,tremer,86,"COD: agitar ou tremer com um movimento rápido e leve",13865,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
wave,ondular,86,"COD: mover-se de um lado para o outro com um movimento balançante enquanto permanece fixo em um ponto",13867,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
roll,rolar,86,"COD: movimento por viragem repetida sobre um eixo",13869,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
swing,balanço,83,"COD: um ato de balançar.",13870,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
turn,virar,86,"FN: girar",13872,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
earthquake,terremoto,83,"COD: um tremor repentino e violento do solo resultante de movimentos dentro da crosta terrestre.",13873,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
quake,terremoto,83,"COD: um terremoto.",13875,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
make,criar,86,"Código de Objeto de Documento",13878,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
turn,virar,86,"FN: causar para mudar em uma entidade diferente.",13879,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
conversion,conversão,83,"COD: o processo ou ação de converter ou ser convertido",13887,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
shift,mudar,86,"FN: mudar de uma categoria ou valor para outro",13892,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
taxi,taxiar,86,"FN: movimento dentro de uma aeronave ao longo da pista antes do decolagem ou após o pouso.",13897,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
take,tomar,86,"COD: como meio de transporte",13898,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
delay,atrasar,86,"COD: causar para ficar atrasado ou lento ou adiar ou postergar.",13907,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
advance,antecipar,86,"COD: causar para ocorrer em uma data anterior à planejada.",13910,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
"move up",antecipar,86,"FN: causar avançar no tempo.",13911,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
delay,atraso,83,"COD: um período de tempo em que algo é atrasado ou adiado.",13916,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
"hold up",atrasar,86,"FN: atrasar",13917,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
reschedule,remarcar,86,"FN: fazer arranjos para um evento que ocorra em um horário diferente do originalmente agendado",13920,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
delay,atraso,83,"FN: o tempo entre quando um evento era esperado e quando ele ocorre; por exemplo, ""esperar grandes atrasos""; ""o atraso foi quase duas horas"".",13921,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
perpetrate,perpetrar,86,"COD: realizar ou cometer (uma ação prejudicial, ilegal ou imoral).",13923,lus_imported_from_english_with_lemma_chunk104_2025-11-14_172029.csv
commission,cometimento,83,"COD: a ação de cometer um crime ou ofensa.",13925,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
quarrel,brigar,86,"FN: argumentar ou discordar",13928,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
altercation,altercação,83,"COD: um argumento ou desacordo barulhento.",13930,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
quarrel,briga,83,"COD: um argumento ou desacordo irritado.",13938,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
row,alinhar,86,"COD: têm uma fila.",13941,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
squabble,brigar,86,"COD: envolver-se em uma briga.",13943,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
squabble,briga,83,"COD: uma discussão barulhenta e trivial.",13944,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
thank,agradecer,86,"COD: expresse gratidão para.",13951,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
chide,repreender,86,"COD: repreender ou repreender.",13959,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
chastisement,castigo,83,"FN: repreensão severa.",13961,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
admonition,advertência,83,"FN: aviso sobre algo que (a pessoa a quem o texto é direcionado) provavelmente fará errado.",13966,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
"tell off",repreender,86,"Reprimandar alguém",13975,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
congratulate,parabenizar,86,"FN: para transmitir bons desejos a alguém por um evento que aconteceu a ele",13978,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
relationship,relação,83,"COD: a maneira pela qual duas ou mais pessoas ou coisas estão conectadas, ou o estado de estar conectado.",13987,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
betrothal,noivado,83,"Noivado: o prometimento de uma pessoa de se casar com outra.",13992,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
divorce,divorciar,86,"COD: dissolver legalmente o casamento com.",13995,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
leave,abandonar,86,"COD: abandonar (um cônjuge ou parceiro).",13996,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
marriage,casamento,83,"COD: a união formal entre um homem e uma mulher, geralmente reconhecida por lei, pela qual eles se tornam marido e mulher.",13997,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
separation,separação,83,"FN: ato em que um casal (geralmente casado) deixa de conviver juntos.",14001,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
wedding,casamento,83,"COD: uma cerimônia de casamento, especialmente incluindo as celebrações associadas.",14005,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
marriage,casamento,83,"FN: estabelecer uma relação familiar com por meio de casamento os parentes de.",14006,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
generous,generoso,84,"COD: dar livremente mais de algo, especialmente dinheiro, do que é estritamente necessário ou esperado.",14008,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
contract,contrair,86,"COD: diminuição de tamanho, número ou alcance.",14020,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
contraction,contração,83,"FN: o processo de uma entidade se tornando menor.",14021,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
enlarge,aumentar,86,"FN: tornar-se maior.",14022,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
expand,expandir,86,"FN: tornar-se maior em qualquer dimensão",14025,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
shrink,diminuir,86,"COD: tornar-se ou tornar menor em tamanho ou quantidade; contrair",14026,lus_imported_from_english_with_lemma_chunk105_2025-11-14_172315.csv
stretch,esticar,86,"COD:   ser feito ou ser capaz de ser feito mais longo ou mais largo sem rasgar ou quebrar.",14027,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
spread,espalhar,86,"FN: Expansão sem perda da área inicial.",14034,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
outstanding,notável,84,"FN: tendo características excepcionais que são necessárias para cumprir um determinado propósito",14040,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
terrific,maravilhoso,84,"FN: ter características que tornam uma determinada entidade muito boa em um uso específico",14046,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
super,super,84,"FN: possui características que fazem de uma entidade muito eficaz em uma determinada atividade",14050,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
work,trabalhar,86,"FN: ser eficaz no que se destina a fazer é esperado para fazer.",14060,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
strong,forte,84,"FN: Extremamente útil ou bem adaptado",14061,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
efficiency,eficiência,83,"A eficiência ou eficácia é a capacidade de realizar tarefas com rapidez e precisão.",34350,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
amass,acumular,86,"FN: agrupar em grande número.",14069,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
band,unir,86,"FN: para formar uma configuração especificada",14071,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
assemble,montar,86,"FN: vir juntos para formar um grupo",14072,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
convene,reunir,86,"FN: se reunir para formar um grupo",14073,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
advise,aconselhar,86,"FN: recomendar, informar",14094,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
assure,assegurar,86,"COD: dizer algo de forma positiva a alguém para dissipar eventuais dúvidas.",14096,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
notify,notificar,86,"COD: informar, tipicamente de forma formal ou oficial.",14098,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
assurance,asseguração,83,"COD: uma declaração positiva destinada a dar confiança",14100,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
squat,agachar,86,"FN: se abaixar em uma posição no chão, com os joelhos flexionados e os calcanhares próximos ou tocando nos glúteos ou coxas.",14115,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
lean,inclinar,86,"COD: estar ou se colocar em posição inclinada.",14117,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
sprawl,esparramar,86,"COD: sentar, deitar ou cair com as extremidades espalhadas de forma desajeitada.",14118,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
"sprawl out",esparramar-se,86,"FN: mentira, ou cair de braços e pernas estendidos de forma desajeitada",14119,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
crouch,agachar,86,"FN: causar o corpo assumir uma posição onde os joelhos estão flexionados e o tronco superior é levado para frente e para baixo.",14120,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
huddle,agrupar-se,86,"COD: enrolar o corpo em um pequeno espaço.",14122,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
combination,combinação,83,"FN: uma mistura de duas ou mais partes que formam um único novo todo",14143,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
join,juntar,86,"FN: para se reunir para formar uma única unidade",14146,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
mix,misturar,86,"FN: para se reunir e formar uma unidade",14148,lus_imported_from_english_with_lemma_chunk106_2025-11-14_172620.csv
grin,"sorrir",86,"COD: sorria amplamente",14163,lus_imported_from_english_with_lemma_chunk107_2025-11-14_172914.csv
depict,retratar,86,"FN: caracterizar graficamente",14169,lus_imported_from_english_with_lemma_chunk107_2025-11-14_172914.csv
depiction,representação,83,"COD: representação é um derivado de retratar",14170,lus_imported_from_english_with_lemma_chunk107_2025-11-14_172914.csv
describe,descrever,86,"COD: dar uma conta detalhada em palavras de.",14171,lus_imported_from_english_with_lemma_chunk107_2025-11-14_172914.csv
description,descrição,83,"COD: uma narrativa oral ou escrita de uma pessoa, objeto ou evento.",14172,lus_imported_from_english_with_lemma_chunk107_2025-11-14_172914.csv
represent,representar,86,"COD: retratar de uma maneira específica",14174,lus_imported_from_english_with_lemma_chunk107_2025-11-14_172914.csv
