lemmaName(pt),lemmaName(en),idPOS,udPOS,idUDPOS,idLanguage,senseDescription(pt),frameName,source_line,reason
define,define,86,VERB,16,1,"Distinguir ou caracterizar",Categorization,158,"Lemma not found in database"
"refletir sobre","mull over",86,VERB,16,1,"COD: pense profundamente.",Cogitation,165,"Lemma not found in database"
"dar atenção","give thought",96,X,17,1,"FN: dar consideração ou atenção cuidadosa.",Cogitation,167,"Lemma not found in database"
"distinguir de","tell from",86,VERB,16,1,"FN: distinguir alguma coisa de outra",Differentiation,178,"Lemma not found in database"
contradiz,contradict,86,VERB,16,1,"FN: a verdade de (uma afirmação) ao afirmar o contrário",Evidence,185,"Lemma not found in database"
implica,imply,86,VERB,16,1,"COD: (de um fato ou ocorrência) sugerir como uma consequência lógica.",Evidence,187,"Lemma not found in database"
"apontar para","point to",86,VERB,16,1,"FN: (de algum fato ou estado de coisas) fornecer evidência para uma conclusão.",Evidence,189,"Lemma not found in database"
corresponde,correspond,86,VERB,16,1,"ser um sinal ou sintoma de; implicar fortemente.",Evidence,193,"Lemma not found in database"
aguarde,await,86,VERB,16,1,"Cod: espere por",Expectation,195,"Lemma not found in database"
concoção,concoction,83,NOUN,8,1,"FN: o processo ou resultado de criar ou inventar (uma história ou plano)",Coming_up_with,202,"Lemma not found in database"
"vir com (algo)","come up (with)",86,VERB,16,1,"Inventar; criar (uma ideia, uma história, etc.)",Coming_up_with,209,"Lemma not found in database"
derisivo,derisive,84,ADJ,1,1,"COD: expressando desprezo ou ridicularização.",Judgment,220,"Lemma not found in database"
vilificação,vilification,83,NOUN,8,1,"COD: o ato de falar ou escrever sobre alguém de maneira depreciativa e abusiva.",Judgment,244,"Lemma not found in database"
Reprehensível,reprehensible,84,ADJ,1,1,"FN: julgado como digno de condenação",Judgment,247,"Lemma not found in database"
"atribuir importância","set store",86,VERB,16,1,"COD: considerar estar de um grau particular de importância",Judgment,249,"Lemma not found in database"
"de mente aberta",broad-minded,84,ADJ,1,1,"COD: tolerante ou liberal.",Mental_property,254,"Lemma not found in database"
Tolosidade,foolishness,83,NOUN,8,1,"FN: comportamento que carece de sentido, julgamento ou discrição",Mental_property,267,"Lemma not found in database"
"mal pensado",ill-advised,84,ADJ,1,1,"COD: mal pensado",Mental_property,270,"Lemma not found in database"
Inatento,inattentive,84,ADJ,1,1,"COD: não atender ao conforto ou aos desejos dos outros",Mental_property,272,"Lemma not found in database"
"Sem sentido",nonsensical,84,ADJ,1,1,"FN: sem significado ou bom senso",Mental_property,276,"Lemma not found in database"
"com cuidado",carefully,89,ADV,3,1,"FN: com atenção suficiente",Mental_property,289,"Lemma not found in database"
"verificar novamente",double-check,86,VERB,16,1,"COD: cheque novamente",Scrutiny,303,"Lemma not found in database"
"Espiar o terreno","spy out the land",86,VERB,16,1,"FN: observar secretamente um lugar por motivos hostis",Scrutiny,304,"Lemma not found in database"
"Uma olhada",once-over,83,NOUN,8,1,"COD: uma inspeção rápida, busca ou peça de trabalho.",Scrutiny,305,"Lemma not found in database"
Verdadeiro.,true,84,ADJ,1,1,"FN: Honesto, direto",Candidness,333,"Lemma not found in database"
comprometer-se,pledge,86,VERB,16,1,"COD: assumir solenemente o compromisso de fazer ou dar algo",Commitment,338,"Lemma not found in database"
debatedor,discussant,83,NOUN,8,1,"FN: alguém que participa de uma discussão formal",Discussion,347,"Lemma not found in database"
"falar (com)",talk_(to),86,VERB,16,1,"FN: discutir ou conferir com outro sobre algo",Discussion,350,"Lemma not found in database"
fraseamento,phrasing,83,NOUN,8,1,"FN: a forma como um texto é formulado",Encoding,355,"Lemma not found in database"
express,express,86,VERB,16,1,"FN: para transmitir uma emoção ou mensagem de uma maneira especificada",Encoding,356,"Lemma not found in database"
"acenar com a cabeça",nod,86,VERB,16,1,"FN: abaixar e levantar ligeiramente e brevemente a cabeça para transmitir uma mensagem",Gesture,358,"Lemma not found in database"
"falar arrastado",drawl,86,VERB,16,1,"COD: fale de forma lenta, preguiçosa, com vogais alongadas",Communication_manner,363,"Lemma not found in database"
Conversa,natter,86,VERB,16,1,"COD: bate papo descontraído.",Communication_manner,370,"Lemma not found in database"
zurro,bray,86,VERB,16,1,"FN: emitir um grito alto e agudo.",Communication_noise,382,"Lemma not found in database"
Cacarear,cackle,86,VERB,16,1,"COD: falar de maneira inconsequente e por longos períodos.",Communication_noise,384,"Lemma not found in database"
croacitar,croak,86,VERB,16,1,"COD: farfalhado.",Communication_noise,388,"Lemma not found in database"
Gemido,groan,86,VERB,16,1,"COD: fazer um som inarticulado profundo em resposta à dor ou desespero.",Communication_noise,393,"Lemma not found in database"
"rir nervosamente",titter,86,VERB,16,1,"COD: dê uma olhada rápida.",Communication_noise,415,"Lemma not found in database"
Queixar-se,whine,86,VERB,16,1,"COD: reclamar de uma forma fraquinha ou caprichosa.",Communication_noise,420,"Lemma not found in database"
"candidatar-se a","apply for",86,VERB,16,1,"FN: pedir algum estado de assuntos de uma maneira mais formal, geralmente envolvendo papelada",Request,437,"Lemma not found in database"
"sorrir com desdém",smirk,86,VERB,16,1,"COD: sorria de uma forma irritantemente arrogante ou boba.",Statement,461,"Lemma not found in database"
reticiente,reticent,84,ADJ,1,1,"COD: não revelar pensamentos ou sentimentos prontamente",Volubility,469,"Lemma not found in database"
falastrão,"big mouth",83,NOUN,8,1,"COD: uma pessoa indiscreta ou vaidosa.",Volubility,473,"Lemma not found in database"
expansiva,expansive,84,ADJ,1,1,"COD: relaxado, genial e comunicativo.",Volubility,476,"Lemma not found in database"
"Pouco comunicativo",uncommunicative,84,ADJ,1,1,"COD: Indisposta a falar ou fornecer informações.",Volubility,482,"Lemma not found in database"
chateada,upset,84,ADJ,1,1,"FN: estar zangado ou infeliz por causa de uma determinada situação",Emotion_directed,493,"Lemma not found in database"
Resentido,resentful,84,ADJ,1,1,"COD: sentir amargor",Emotion_directed,497,"Lemma not found in database"
Triste.,sorrowful,84,ADJ,1,1,"FN: cheio de tristeza",Emotion_directed,499,"Lemma not found in database"
tormentado,tormented,84,ADJ,1,1,"FN: experimentando grande angústia",Emotion_directed,501,"Lemma not found in database"
Confuso.,befuddled,84,ADJ,1,1,"Confuso ou perplexo",Emotion_directed,519,"Lemma not found in database"
desconsertação,disconcertion,83,NOUN,8,1,"FN: o estado de estar desconcertado",Emotion_directed,527,"Lemma not found in database"
ecstático,ecstatic,84,ADJ,1,1,"FN: sentir sentimentos maravilhosos de felicidade e alegria",Emotion_directed,547,"Lemma not found in database"
"de coração partido",heartbroken,84,ADJ,1,1,"COD: sofrendo de angústia esmagadora; muito perturbado.",Emotion_directed,554,"Lemma not found in database"
horrificado,horrified,84,ADJ,1,1,"FN: chocado ou abalado.",Emotion_directed,555,"Lemma not found in database"
infuriado,infuriated,84,ADJ,1,1,"FN: cheio de raiva e fúria",Emotion_directed,557,"Lemma not found in database"
Farto.,"fed up",84,ADJ,1,1,"FN: insatisfeito como resultado de ter que suportar por muito tempo.",Emotion_directed,566,"Lemma not found in database"
"tudo sobre","all about",90,ADP,2,1,"FN: extremamente interessado em.",Emotion_directed,567,"Lemma not found in database"
Antagonizar,antagonize,86,VERB,16,1,"COD: causar hostilidade.",Stimulate_emotion,577,"Lemma not found in database"
frustra,frustrate,86,VERB,16,1,"COD: causar insatisfação ou falta de realização.",Stimulate_emotion,594,"Lemma not found in database"
infuriar,infuriate,86,VERB,16,1,"COD: irritar ou fazer ficar com raiva.",Stimulate_emotion,599,"Lemma not found in database"
perplexar,perplex,86,VERB,16,1,"COD: causar uma sensação de confusão.",Stimulate_emotion,602,"Lemma not found in database"
Estupefiar,stupefy,86,VERB,16,1,"COD: espantar e chocar",Stimulate_emotion,618,"Lemma not found in database"
soberar,sober,86,VERB,16,1,"COD: fazer ou se tornar sério",Stimulate_emotion,633,"Lemma not found in database"
"explodir a mente","blow (one's) mind",96,X,17,1,"Surpreender alguém de forma forte.",Stimulate_emotion,648,"Lemma not found in database"
"gostar de",like,86,VERB,16,1,"COD: encontrar agradável, agradável ou satisfatório",Experiencer_focused_emotion,654,"Lemma not found in database"
"Aqui está a tradução do texto ""hatred"" do inglês para o português:

""ódio",hatred,83,NOUN,8,1,"COD: intenso desgosto.",Experiencer_focused_emotion,657,"Lemma not found in database"
"com medo",afraid,84,ADJ,1,1,"COD: temeroso ou ansioso.",Experiencer_focused_emotion,659,"Lemma not found in database"
Farto.,"fed up",84,ADJ,1,1,"FN: tendo perdido a paciência",Experiencer_focused_emotion,674,"Lemma not found in database"
irritar-se,chafe,86,VERB,16,1,"COD: ficar irritado ou impaciente devido a uma restrição ou inconveniente",Emotion_heat,680,"Lemma not found in database"
enfurecer-se,fume,86,VERB,16,1,"COD: sentir grande raiva.",Emotion_heat,681,"Lemma not found in database"
rehabilitar,rehabilitate,86,VERB,16,1,"FN: restaurar à saúde ou à vida normal através de treinamento e terapia após a dependência ou doença",Cure,686,"Lemma not found in database"
Reabilitativo,rehabilitative,84,ADJ,1,1,"FN: ter a função de restaurar à saúde ou à vida normal por meio de treinamento e terapia após prisão, vício ou doença",Cure,691,"Lemma not found in database"
animar-se,"perk up",86,VERB,16,1,"FN: para se curar.",Recovery,699,"Lemma not found in database"
"Bater as botas",croak,86,VERB,16,1,"COD: morrer.",Death,705,"Lemma not found in database"
"Bater as botas","kick the bucket",86,VERB,16,1,"COD: (s.v. chutar) morrer.",Death,708,"Lemma not found in database"
"bater as botas","croak it",86,VERB,16,1,"FN: morrer",Death,709,"Lemma not found in database"
"chegar a","get to",86,VERB,16,1,"chegar a um destino.",Arriving,718,"Lemma not found in database"
impeler,impel,86,VERB,16,1,"FN: fazer mover ou causar que se mova para a frente; comunicar movimento",Cause_motion,734,"Lemma not found in database"
escortar,escort,86,VERB,16,1,"COD: Acompanhar como escolta.",Cotheme,737,"Lemma not found in database"
"seguir como sombra","dog steps",96,X,17,1,"FN: seguir de forma perturbadoramente determinada.",Cotheme,741,"Lemma not found in database"
"Liderar o caminho","lead the way",86,VERB,16,1,"FN: levar (alguma pessoa ou pessoas não especificadas) a um local ao longo de um caminho específico. Embora este LU, à primeira vista, pareça ser um exemplo da Construção do Caminho (ver entrada Constructicon), difere em forma (o ""o"" fixo antes do ""caminho"", nunca um possessivo como é usual na Construção do Caminho) e em significado (o Cotheme omitido é DNI, não o INI que é usual para objetos diretos omitidos na Construção do Caminho; o Objetivo ou Caminho também pode ser omitido, ao contrário da Construção do Caminho).",Cotheme,742,"Lemma not found in database"
"sair rapidamente",vamoose,86,VERB,16,1,"COD: partiu precipitadamente.",Departing,744,"Lemma not found in database"
"sair rapidamente",skedaddle,86,VERB,16,1,"FN: partir rapidamente",Departing,745,"Lemma not found in database"
emerge,emerge,86,VERB,16,1,"FN: vir à tona (de uma posição escondida).",Departing,746,"Lemma not found in database"
purga,purge,86,VERB,16,1,"FN: livre de impurezas, limpar, livrar-se de coisas indesejadas",Emptying,750,"Lemma not found in database"
descontaminar,decontaminate,86,VERB,16,1,"COD: remove substâncias perigosas de.",Emptying,771,"Lemma not found in database"
semeia,sow,86,VERB,16,1,"COD: plante (área) com semente",Filling,783,"Lemma not found in database"
permeiar,suffuse,86,VERB,16,1,"COD: gradualmente se espalhou por ou sobre",Filling,794,"Lemma not found in database"
glacear,glaze,86,VERB,16,1,"COD: cobrir com um glaseado.",Filling,799,"Lemma not found in database"
acessorizar,accessorize,86,VERB,16,1,"FN: fornecer a uma entidade enfeites não essenciais",Filling,802,"Lemma not found in database"
undular,undulate,86,VERB,16,1,"FN: prosseguir (como um caminho) com um padrão liso, ondulado",Path_shape,843,"Lemma not found in database"
deitado,"in image",89,ADV,3,1,deitar,Placing,879,"Lemma not found in database"
purga,purge,86,VERB,16,1,"COD: remover por um processo de limpeza.",Removing,889,"Lemma not found in database"
"Jogue fora","throw away",86,VERB,16,1,"Atirar algo no lixo.",Removing,898,"Lemma not found in database"
removedor,remover,83,NOUN,8,1,,Removing,900,"Lemma not found in database"
agitar-se,bustle,86,VERB,16,1,"COD: move energicamente ou de forma barulhenta",Self_motion,908,"Lemma not found in database"
"caminhar pesadamente",clomp,86,VERB,16,1,"COD: caminhar com um passo largo e firme",Self_motion,911,"Lemma not found in database"
Apressar-se,hasten,86,VERB,16,1,"COD: seja rápido em fazer algo; mova-se rapidamente. nenhuma definição apropriada em COD",Self_motion,921,"Lemma not found in database"
apressar-se,hurry,86,VERB,16,1,"COD: mover ou agir rapidamente ou mais rapidamente.",Self_motion,922,"Lemma not found in database"
"caminhar pesadamente",plod,86,VERB,16,1,"COD: caminhar com determinação e lentamente com passos pesados.",Self_motion,932,"Lemma not found in database"
Apressar-se,rush,86,VERB,16,1,"FN: vá para algum lugar com urgência",Self_motion,937,"Lemma not found in database"
"caminhar despreocupadamente",saunter,86,VERB,16,1,"COD: caminhe de maneira lenta e relaxada.",Self_motion,939,"Lemma not found in database"
escalaminhada,scramble,83,NOUN,8,1,"COD: uma caminhada por terreno acidentado que envolve o uso das mãos.",Self_motion,940,"Lemma not found in database"
arrastar-se,shuffle,86,VERB,16,1,"COD: caminhar arrastando os pés ou sem levantá-los completamente do chão.",Self_motion,944,"Lemma not found in database"
"Esgueirar-se furtivamente",skulk,86,VERB,16,1,"COD: esconder ou se mover secretamente, geralmente com uma motivação sinistra ou covarde.",Self_motion,945,"Lemma not found in database"
eslalonar,slalom,86,VERB,16,1,"COD: mover ou correr em um caminho sinuoso, evitando obstáculos.",Self_motion,946,"Lemma not found in database"
"caminhar com dificuldade",slog,86,VERB,16,1,"COD: caminhar ou mover-se com dificuldade ou esforço",Self_motion,950,"Lemma not found in database"
"pisar forte",stomp,86,VERB,16,1,"COD: tropeça e faz barulho, tipicamente para mostrar raiva.",Self_motion,953,"Lemma not found in database"
"ficar para trás",straggle,86,VERB,16,1,"COD: mova-se lentamente para ficar atrás da pessoa ou das pessoas à frente",Self_motion,954,"Lemma not found in database"
"caminhar com passo largo e seguro",stride,86,VERB,16,1,"COD: caminhe com passos longos e decididos.",Self_motion,955,"Lemma not found in database"
"andar na ponta dos pés",tiptoe,86,VERB,16,1,"COD: caminhe silenciosamente e cuidadosamente com os calcanhares elevados e o peso nos pés.",Self_motion,959,"Lemma not found in database"
"caminhar pesadamente",tramp,86,VERB,16,1,"COD: caminhar fortemente ou barulhento.",Self_motion,963,"Lemma not found in database"
trundlar,trundle,86,VERB,16,1,"COD: move lentamente e de forma irregular, como se estivesse sobre rodas.",Self_motion,966,"Lemma not found in database"
"marchar em passo de ganso",goose-step,86,VERB,16,1,"FN: marchar com um passo militar em que as pernas não são dobradas no joelho",Self_motion,971,"Lemma not found in database"
rastejo,crawl,83,NOUN,8,1,"COD: uma ação de rastejar.",Self_motion,972,"Lemma not found in database"
"ir direto","make a beeline",86,VERB,16,1,"COD: apresse-se para",Self_motion,975,"Lemma not found in database"
afeminar-se,nance,86,VERB,16,1,"FN: se mover de maneira notavelmente efeminada",Self_motion,977,"Lemma not found in database"
enfileirar-se,file,86,VERB,16,1,"FN: mover-se em uma linha com outros",Self_motion,980,"Lemma not found in database"
"Alçar voo","take to the air",86,VERB,16,1,"FN: começar a voar",Self_motion,981,"Lemma not found in database"
"a caminho",enroute,84,ADJ,1,1,"FN: atualmente viajando para",Self_motion,982,"Lemma not found in database"
"A caminho de","en route",89,ADV,3,1,"FN: atualmente viajando para.",Self_motion,984,"Lemma not found in database"
Trilheiro,hiker,83,NOUN,8,1,"FN: uma pessoa envolvida em caminhar para apreciar a beleza da natureza.",Self_motion,986,"Lemma not found in database"
"jogo de pés",footwork,83,NOUN,8,1,"A forma como uma pessoa move os pés durante um esporte, como uma luta.",Self_motion,989,"Lemma not found in database"
"lançar de paraquedas",parachute,86,VERB,16,1,"COD: soltar ou causar que alguém solte por paraquedas.",Operate_vehicle,991,"Lemma not found in database"
"navegar de balsa",raft,86,VERB,16,1,"COD: viajar ou transportar em ou como se estivesse em uma balsa",Operate_vehicle,992,"Lemma not found in database"
"andar de trenó",toboggan,86,VERB,16,1,"COD: andar em um trenó.",Operate_vehicle,994,"Lemma not found in database"
"escutar conversas alheias",eavesdrop,86,VERB,16,1,"COD: escutar secretamente uma conversa",Perception_active,995,"Lemma not found in database"
"olhar rápido",glance,83,NOUN,8,1,"COD: uma olhada rápida ou apressada",Perception_active,996,"Lemma not found in database"
ouça,listen,86,VERB,16,1,"COD: dar atenção a um som; fazer esforço para ouvir algo",Perception_active,998,"Lemma not found in database"
Observe,observe,86,VERB,16,1,"COD: notar; perceber; observar atentamente",Perception_active,1000,"Lemma not found in database"
cheirada,sniff,83,NOUN,8,1,"FN: o ato de soprar ar de forma audível pela nariz, especialmente para cheirar",Perception_active,1003,"Lemma not found in database"
"Olhar fixo",stare,83,NOUN,8,1,"COD: um olhar fixo em alguém ou algo com os olhos bem abertos",Perception_active,1005,"Lemma not found in database"
"Olhar fixamente",stare,86,VERB,16,1,"COD: olhar fixamente para alguém ou algo com os olhos bem abertos",Perception_active,1006,"Lemma not found in database"
observe,watch,86,VERB,16,1,"COD: olhe atentamente",Perception_active,1007,"Lemma not found in database"
"encarar estupidamente",gawk,86,VERB,16,1,"COD: olhar fixamente e estúpidomente.",Perception_active,1010,"Lemma not found in database"
"está matando","be killing",86,VERB,16,1,"FN: ((algum objeto, geralmente uma parte do corpo)) causa dor em",Perception_body,1020,"Lemma not found in database"
zurra,bray,86,VERB,16,1,"FN: emitir o alto e rude choro característico de um burro",Make_noise,1027,"Lemma not found in database"
Cacarear,cackle,86,VERB,16,1,"COD: (de uma galinha ou ganso) dar um choco barulhento e estridente.",Make_noise,1029,"Lemma not found in database"
"miar estridentemente",caterwaul,86,VERB,16,1,"COD: fazer um barulho agudo de uivo ou lamento.",Make_noise,1030,"Lemma not found in database"
Gemido,moan,86,VERB,16,1,"COD: gemer ou fazer um gemido.",Make_noise,1059,"Lemma not found in database"
plopar,plop,86,VERB,16,1,"FN: fazer um som curto e entediante, como de um objeto caindo na água sem fazer espuma",Make_noise,1063,"Lemma not found in database"
"rir de forma maliciosa",snigger,86,VERB,16,1,"COD: dar tal risada.",Make_noise,1072,"Lemma not found in database"
"rir nervosamente",titter,86,VERB,16,1,"COD: para dar uma curta, meio suprimida risada",Make_noise,1083,"Lemma not found in database"
lamentar-se,whine,86,VERB,16,1,"COD: dar ou fazer um reclame.",Make_noise,1090,"Lemma not found in database"
jodelar,yodel,86,VERB,16,1,"COD: uma forma de canto ou chamada marcada por uma rápida alternância entre a voz normal e o falsete.",Make_noise,1096,"Lemma not found in database"
bipar,beep,86,VERB,16,1,"FN: fazer um zumbido eletrônico agudo",Make_noise,1102,"Lemma not found in database"
"ouvir por acaso",overhear,86,VERB,16,1,"COD: ouvir acidentalmente ou secretamente.",Perception_experience,1108,"Lemma not found in database"
"ponto de vista","point of view",96,X,17,1,"A opinião de alguém ou a forma como uma pessoa vê algo.",Perception_experience,1110,"Lemma not found in database"
"sonhar acordado",daydream,86,VERB,16,1,"Gasta tempo pensando em pensamentos agradáveis sobre algo que você gostaria de estar fazendo ou algo que você gostaria de alcançar no futuro.",Perception_experience,1111,"Lemma not found in database"
"golpe de estado",coup,83,NOUN,8,1,"COD: uma tomada de poder violenta ou ilegal",Change_of_leadership,1118,"Lemma not found in database"
revolta,rebellion,83,NOUN,8,1,"COD: n. resistência aberta à autoridade, especialmente resistência armada organizada a um governo estabelecido.",Change_of_leadership,1123,"Lemma not found in database"
revolta,uprising,83,NOUN,8,1,"COD: um ato de resistência ou rebelião.",Change_of_leadership,1124,"Lemma not found in database"
revolta,revolt,83,NOUN,8,1,"COD: uma tentativa de acabar com a autoridade de uma pessoa ou corpo através da rebelião.",Change_of_leadership,1128,"Lemma not found in database"
"assumir o controle","take over",86,VERB,16,1,"COD: assume controle de ou responsabilidade por algo.",Change_of_leadership,1129,"Lemma not found in database"
revolta,rising,83,NOUN,8,1,"FN: uma revolta contra uma autoridade",Change_of_leadership,1134,"Lemma not found in database"
preside,preside,86,VERB,16,1,"COD: estar em uma posição de autoridade em uma reunião, tribunal, etc.; ser responsável por (uma situação).",Leadership,1143,"Lemma not found in database"
vice-capitão,vice-captain,83,NOUN,8,1,"FN: uma pessoa servindo no lugar do ou como substituto do capitão",Leadership,1150,"Lemma not found in database"
"vice-presidente do conselho",vice-chairman,83,NOUN,8,1,"FN: uma pessoa que delega os poderes de um presidente e atua em seu lugar durante sua ausência ou indisposição",Leadership,1151,"Lemma not found in database"
sátrapa,satrap,83,NOUN,8,1,"COD: um governante subordinado ou local",Leadership,1156,"Lemma not found in database"
maharaja,maharaja,83,NOUN,8,1,"COD: um príncipe indiano histórico",Leadership,1162,"Lemma not found in database"
tsar,tsar,83,NOUN,8,1,"COD: um imperador da Rússia antes de 1917",Leadership,1163,"Lemma not found in database"
tsarina,tsarina,83,NOUN,8,1,"COD: uma imperatriz da Rússia antes de 1917",Leadership,1164,"Lemma not found in database"
vizir,vizier,83,NOUN,8,1,"COD: alto funcionário em alguns países muçulmanos, especialmente na Turquia sob o domínio otomano",Leadership,1166,"Lemma not found in database"
duquesa,duchess,83,NOUN,8,1,"FN: a esposa ou viúva de um duque, ou uma mulher que detém um posto equivalente ao de duque",Leadership,1167,"Lemma not found in database"
Khedive,khedive,83,NOUN,8,1,"COD: o título do vice-rei do Egito sob domínio turco 1867-1914",Leadership,1169,"Lemma not found in database"
pacha,pasha,83,NOUN,8,1,"COD: O título de um oficial turco de alto escalão.",Leadership,1171,"Lemma not found in database"
"senhor supremo",overlord,83,NOUN,8,1,"COD: O senhor, especialmente um senhor feudal.",Leadership,1172,"Lemma not found in database"
"senhor do tráfico","drug lord",83,NOUN,8,1,"FN: O líder de uma organização criminosa que tráfico de drogas ilegais",Leadership,1175,"Lemma not found in database"
diretor-geral,"director general",83,NOUN,8,1,"COD: o diretor-executivo de uma grande organização.",Leadership,1178,"Lemma not found in database"
"alto sacerdote","high priest",83,NOUN,8,1,"FN: um padre com autoridade sobre um grande número de pessoas.",Leadership,1180,"Lemma not found in database"
"deputado federal",congressman,83,NOUN,8,1,"FN: um oficial masculino que é membro do congresso e, especialmente, da Câmara dos Representantes dos EUA",Leadership,1183,"Lemma not found in database"
major-general,"major general",84,ADJ,1,1,"FN: um posto dentro de várias forças armadas ao redor do mundo",Leadership,1187,"Lemma not found in database"
"príncipe herdeiro","crown prince",83,NOUN,8,1,"FN: um príncipe",Leadership,1188,"Lemma not found in database"
CEO,ceo,83,NOUN,8,1,"Veja: diretor executivo.",Leadership,1191,"Lemma not found in database"
Diretor-Executivo,"chief executive officer",83,NOUN,8,1,"FN: o executivo de mais alto escalão responsável pela gestão total de uma empresa ou organização.",Leadership,1192,"Lemma not found in database"
deputada,congresswoman,83,NOUN,8,1,"FN: uma funcionária feminina que é membro do Congresso e, especialmente, da Câmara dos Representantes dos EUA",Leadership,1197,"Lemma not found in database"
"ter influência","hold sway",86,VERB,16,1,"FN: tem controle (sobre alguma jurisdição ou grupo).",Leadership,1199,"Lemma not found in database"
"por todo","all over",90,ADP,2,1,"FN: cobrindo completamente.",Distributed_position,1217,"Lemma not found in database"
aggrandecimento,aggrandizement,83,NOUN,8,1,"FN: o resultado de fazer algo parecer maior.",Cause_expansion,1220,"Lemma not found in database"
"Aumentar o comprimento",lengthen,86,VERB,16,1,"COD: fazer ou ficar mais longo.",Cause_expansion,1225,"Lemma not found in database"
"bolsa de mão",handbag,83,NOUN,8,1,"COD: (Brit.) uma pequena bolsa usada por uma mulher para carregar itens pessoais diários.",Containers,1232,"Lemma not found in database"
"colher de chá",teaspoon,83,NOUN,8,1,"COD: uma colher pequena usada para adicionar açúcar a bebidas quentes ou para comer alguns alimentos.",Containers,1238,"Lemma not found in database"
"bolsa grande",carryall,83,NOUN,8,1,"COD: (N. Amer.) uma grande bolsa ou estojo.",Containers,1258,"Lemma not found in database"
cremeira,creamer,83,NOUN,8,1,"COD: (N. Amer.) uma jarra para creme.",Containers,1261,"Lemma not found in database"
decantador,decanter,83,NOUN,8,1,"COD: um recipiente de vidro com tampa que é utilizado para despejar vinho ou espírito",Containers,1262,"Lemma not found in database"
